,Case_insensitive,Case_sensitive
1439,St. Mary's,
1440,Lansing,
1441,Lansing,
1442,Lansing,
1443,Lycoming,
1444,Westminster,
1445,Costa Mesa,
1446,Costa Mesa,
1447,High Point,
1448,Windham,
1449,Denton,
1450,Manchester,
1451,Manchester,
1452,Manchester,
1453,Manchester,
1454,Pueblo,
1455,Pueblo,
1456,Lakeland,
1457,Lakeland,
1458,Pompano Beach,
1459,Pompano Beach,
1460,Hamilton,
1461,Bernalillo,
1462,West Palm Beach,
1463,West Palm Beach,
1464,Newton,
1465,Antioch,
1466,Antioch,
1467,Everett,
1468,Everett,
1469,Iredell,
1470,Downey,
1471,Downey,
1472,Palatineship,
1473,Smithtown,
1474,Montgomery,
1475,Lowell,
1476,Lowell,
1477,Lowell,
1478,Lowell,
1479,Douglas,
1480,Hardin,
1481,Centennial,
1482,Centennial,
1483,Navajo,
1484,Washoe,
1485,Elgin,
1486,Bloomingdaleship,
1487,Lyonsship,
1488,Cowlitz,
1489,Richmond,
1490,Richmond,
1491,Terrebonne Parish,
1492,Peoria,
1493,Peoria,
1494,Craighead,
1495,Eaton,
1496,Broken Arrow,
1497,Wayneship,
1498,Miami Gardens,
1499,Miami Gardens,
1500,LaPorte,
1501,Kankakee,
1502,Jefferson,
1503,Ontario,
1504,St. Mary's,
1505,Harnett,
1506,Billings,
1507,Billings,
1508,Jurupa Valley,
1509,Jurupa Valley,
1510,Sandy Springs,
1511,Sandy Springs,
1512,Mercer,
1513,Gresham,
1514,Gresham,
1515,Albemarle,
1516,Oneida,
1517,Lewisville,
1518,Hillsboro,
1519,Hillsboro,
1520,St. Joseph,
1521,San Buenaventura (Ventura),
1522,San Buenaventura (Ventura),
1523,Albemarle,
1524,LaSalle,
1525,Greeley,
1526,Greeley,
